repo	milestone	round	issue_slug	title	size	depends_on	files_touched	notes	filed_url
paideia-os	g6-color-hdr	G6	G6-M4-001	HDR10 output transform (SMPTE ST 2084 PQ, ST 2086 static metadata)	M	-	src/user/color/hdr10_transform.pdx	G6 delta; prereq CLOSED #1509-#1516; P5 mitigation	https://github.com/paideia-os/paideia-os/issues/2235
paideia-os	g6-color-hdr	G6	G6-M4-002	HLG output transform (BT.2100 HLG OETF/OOTF)	M	-	src/user/color/hlg_transform.pdx	G6 delta; prereq CLOSED #1509-#1516; P5 mitigation	https://github.com/paideia-os/paideia-os/issues/2236
paideia-os	g6-color-hdr	G6	G6-M4-003	KIND_HDR_METADATA cap + Dolby Vision dynamic metadata pathway	M	-	src/user/color/hdr_metadata_kind.pdx	G6 delta; AMBIGUOUS — CLOSED G6.M2-002 EOTF/OETF pipeline may partially overlap; flag for CP-1 v2	https://github.com/paideia-os/paideia-os/issues/2237
paideia-os	g6-color-hdr	G6	G6-M5-001	KIND_TONEMAP_LUT cap + 3D-LUT storage schema	M	-	src/user/color/tonemap_kind.pdx	G6 delta; prereq CLOSED #1509-#1516	https://github.com/paideia-os/paideia-os/issues/2238
paideia-os	g6-color-hdr	G6	G6-M5-002	Reference tone-mapping curves (BT.2408 Hable / Reinhard baseline)	M	G6-M5-001	src/user/color/tonemap_curves.pdx	G6 delta	https://github.com/paideia-os/paideia-os/issues/2239
paideia-os	g6-color-hdr	G6	G6-M6-001	KIND_REFERENCE_DISPLAY metadata cap + capability advertisement	M	-	src/user/color/reference_display_kind.pdx	G6 delta	https://github.com/paideia-os/paideia-os/issues/2240
paideia-os	g6-color-hdr	G6	G6-M6-002	BT.2100 gamut + white-point conversion helpers	M	G6-M6-001	src/user/color/bt2100_helpers.pdx	G6 delta	https://github.com/paideia-os/paideia-os/issues/2241
paideia-os	g7-compositor-protocol	G7	G7-M1-001	PWP protocol spec: vocabulary index (surface/window/layer/output/seat kinds catalogue)	M	-	design/compositor/pwp-spec-vocabulary.md	PWP freeze M1; R1 mitigation	https://github.com/paideia-os/paideia-os/issues/2242
paideia-os	g7-compositor-protocol	G7	G7-M1-002	PWP protocol spec: wire framing + request/event opcode tables	M	G7-M1-001	design/compositor/pwp-spec-wire.md	PWP freeze M1	https://github.com/paideia-os/paideia-os/issues/2243
paideia-os	g7-compositor-protocol	G7	G7-M1-003	PWP protocol spec: atomic-commit lifecycle + timeline-guarded state machine	M	G7-M1-001	design/compositor/pwp-spec-lifecycle.md	PWP freeze M1; P1 mitigation	https://github.com/paideia-os/paideia-os/issues/2244
paideia-os	g7-compositor-protocol	G7	G7-M1-004	PWP protocol spec: 3-week freeze review record + sign-off gate	S	G7-M1-001,G7-M1-002,G7-M1-003	design/compositor/pwp-spec-freeze-review.md	PWP freeze M1; R1 mitigation gate	https://github.com/paideia-os/paideia-os/issues/2245
paideia-os	g7-compositor-protocol	G7	G7-M2-001	KIND_SURFACE derived cap declaration + rights bits	M	G7-M1-004	src/user/compositor/surface_kind.pdx	prereq G1-G6 (CLOSED + G6 delta); noted for CP-1	https://github.com/paideia-os/paideia-os/issues/2246
paideia-os	g7-compositor-protocol	G7	G7-M2-002	KIND_SURFACE_COMMIT (linear) primitive with atomic-batch semantics	M	G7-M2-001	src/user/compositor/surface_commit.pdx	linear-cap discipline	https://github.com/paideia-os/paideia-os/issues/2248
